"utm","x","y"
"VP20",-3.92608993715,43.3941223799
"VP30",-3.80262409891,43.3950555934
"VP40",-3.67915276688,43.3958555233
"VP50",-3.55567678587,43.3965221544
"VP60",-3.43219700086,43.3970554744
"VP70",-3.30871425703,43.3974554731
"VP80",-3.18522939966,43.3977221431
"VP90",-3.06174327413,43.3978554794
"WP00",-2.93825672587,43.3978554794
"WP10",-2.81477060034,43.3977221431
"WP20",-2.69128574297,43.3974554731
"WP30",-2.56780299914,43.3970554744
"WP40",-2.44432321413,43.3965221544
"WP80",-1.95045056294,43.3930559002
"WP90",-1.82699824564,43.3918561743
"PH19",-7.58256779405,43.299032987
"MH88",-9.18503530158,43.2176194978
"PH29",-7.45932482224,43.2974400034
"MH98",-9.06191275325,43.2177526464
"PH39",-7.33609116953,43.2957128981
"NH08",-8.93879025238,43.217752879
"PH49",-7.21286932421,43.2938529014
"NH18",-8.8156686427,43.2176202095
"PH59",-7.08965968208,43.2918611996
"NH28",-8.69254732417,43.2173556996
"PH69",-6.96646366484,43.2897367188
"NH38",-8.56942917742,43.2169594797
"PH79",-6.84328093928,43.2874794608
"NH48",-8.44631282102,43.216429212
"PH89",-6.72011234739,43.2850894831
"NH58",-8.32320071272,43.2157661453
"PH99",-6.59695978854,43.2825669307
"NH68",-8.20009383975,43.2149725347
"QH09",-6.47382361241,43.2799129197
"NH78",-8.07699186681,43.2140461255
"QH19",-6.35070513649,43.2771264645
"NH88",-7.95389562025,43.2129869425
"QH29",-6.22760412908,43.2742075461
"NH98",-7.83080698763,43.2117950539
"QH39",-6.10452146811,43.2711562452
"PH08",-7.70772677065,43.2104705874
"QH49",-6.02159929084,43.2682651034
"TN59",-5.97875324752,43.2682645064
"TN69",-5.89583095311,43.2711557934
"TN79",-5.77274881637,43.274207918
"TN89",-5.64964782973,43.2771277513
"TN99",-5.52652882527,43.2799152388
"UN09",-5.40339263584,43.2825703284
"UN19",-5.28024009506,43.2850929705
"UN29",-5.15707203723,43.2874831178
"UN39",-5.0338892973,43.2897407257
"UN49",-4.91069271089,43.291865752
"UN59",-4.78748311418,43.2938581569
"UN69",-4.66426134393,43.2957179031
"UN79",-4.54102823741,43.2974449559
"UN89",-4.41778463239,43.2990392829
"UN99",-4.29453136708,43.3005008543
"VN09",-4.17126928011,43.3018296426
"VN19",-4.04799921051,43.303025623
"VN29",-3.92472199761,43.3040887732
"VN39",-3.80143848109,43.3050190732
"VN49",-3.67814950087,43.3058165055
"VN59",-3.55485589713,43.3064810553
"VN69",-3.43155851024,43.3070127101
"VN79",-3.30825818072,43.3074114599
"VN89",-3.18495574925,43.3076772972
"VN99",-3.06165205655,43.3078102171
"WN09",-2.93834794345,43.3078102171
"WN19",-2.81504425075,43.3076772972
"WN29",-2.69174181928,43.3074114599
"WN39",-2.56844148976,43.3070127101
"WN49",-2.44514410287,43.3064810553
"WN59",-2.32185049913,43.3058165055
"WN69",-2.19856151891,43.3050190732
"WN79",-2.07527800239,43.3040887732
"WN89",-1.95200078949,43.303025623
"WN99",-1.82873071989,43.3018296426
"XN09",-1.70546863292,43.3005008543
"XN19",-1.58221536761,43.2990392829
"XN29",-1.45897176259,43.2974449559
"XN39",-1.33573865607,43.2957179031
"MH77",-9.30770344694,43.1273059639
"PH18",-7.58465435198,43.2090144872
"MH87",-9.18476289447,43.1275706358
"PH28",-7.46159204466,43.2074258879
"MH97",-9.06182217553,43.1277039362
"PH38",-7.33854066976,43.2057047499
"NH07",-8.93888048648,43.1277046799
"PH48",-7.21549944904,43.2038499663
"NH17",-8.81593865986,43.1275728842
"PH58",-7.09247137234,43.2018638917
"NH27",-8.69299853775,43.1273086211
"PH68",-6.96945536685,43.1997465153
"NH37",-8.57006056368,43.1269130067
"PH78",-6.84645362317,43.1974968345
